Onset (s),Offset (s)
0.034,8.067
8.534,40.634
40.767,41.434
41.534,86.267
86.4,88.367
88.434,108.167
108.267,119.3
119.367,125.9
125.967,174.834
174.934,214.4
214.467,251.3
251.4,252.2
252.267,257.434
257.567,263.434
263.467,263.6
263.634,263.967
264.0,264.167
264.2,265.067
265.1,265.267
265.367,265.5
265.534,266.734
266.867,315.034
315.134,321.567
321.667,322.367
322.434,382.967
383.067,385.767
385.9,410.734
410.867,414.167
414.267,424.734
424.767,424.934
425.0,433.834
433.934,456.167
456.267,465.067
465.234,470.734
470.767,470.9
470.967,479.667
479.734,486.534
486.6,494.634
494.734,519.1
519.167,541.9
542.034,548.234
548.4,559.734
559.8,561.567
561.667,576.567
576.634,609.167
609.3,615.8
615.834,615.934
616.0,618.2
618.3,629.167
629.267,632.4
632.5,643.9
643.967,674.434
674.567,675.734
675.834,693.734
693.934,748.2
748.367,749.334
749.5,770.634
770.734,782.9
782.967,785.634
785.7,786.0
786.134,792.867
792.934,796.267
796.4,797.167
797.234,803.3
803.334,803.434
803.467,803.867
803.934,805.167
805.2,817.467
817.6,833.0
833.067,837.367
837.5,839.5
839.634,839.867
839.967,840.3
840.4,840.734
840.767,840.967
841.067,858.167
858.234,864.4
864.5,867.567
867.667,877.667
877.734,910.767
910.8,911.434
911.634,911.734
912.434,912.767
912.867,913.0
913.234,913.5
913.6,913.9
914.0,914.367
914.534,914.7
915.434,915.534
915.567,915.667
915.934,916.067
916.7,916.834
916.934,917.034
917.334,917.5
917.7,917.9
917.934,918.134
918.167,918.4
918.5,918.734
919.1,919.2
919.234,919.367
919.667,919.9
920.467,920.6
921.1,921.5
921.667,921.967
922.967,923.4
923.434,923.567
923.6,924.4
924.6,925.834
925.934,926.3
926.334,926.5
927.0,927.134
927.267,927.5
927.6,928.0
928.1,928.3
928.4,929.9
929.967,930.267
930.3,930.734
930.8,931.5
931.6,931.9
931.934,932.134
932.367,932.467
932.634,932.767
932.967,933.067
933.2,933.634
933.834,934.0
934.334,934.567
934.8,935.0
935.334,935.434
935.467,935.567
935.767,936.1
936.4,936.5
936.8,937.367
937.6,937.834
938.167,938.4
938.667,938.934
939.067,939.167
939.534,939.7
939.8,940.0
940.034,940.3
940.334,940.434
940.534,941.534
941.567,941.667
942.034,942.334
942.934,943.067
943.1,943.267
943.434,943.534
944.0,944.2
944.234,944.4
944.467,944.767
944.934,945.034
945.1,945.934
946.0,946.9
946.934,1045.634
1045.8,1047.067
1047.5,1048.234
1048.267,1056.434
1056.5,1056.9
1057.034,1057.5
1057.534,1057.8
1057.867,1058.067
1058.167,1058.534
1058.567,1058.867
1058.934,1059.567
1059.7,1060.4
1060.434,1060.534
1060.8,1061.834
1062.167,1063.234
1063.434,1063.567
1063.734,1063.867
1064.134,1064.334
1064.4,1064.9
1065.0,1065.334
1065.7,1066.0
1066.1,1066.2
1066.267,1066.4
1066.434,1066.6
1066.8,1066.934
1067.167,1067.4
1067.634,1067.767
1067.8,1067.9
1068.167,1068.667
1069.2,1069.434
1069.467,1069.634
1069.7,1069.967
1070.2,1070.4
1070.7,1070.834
1071.034,1071.167
1071.4,1073.134
1073.734,1073.934
1074.0,1074.967
1075.267,1075.434
1075.634,1077.234
1077.9,1078.1
1078.134,1079.0
1079.1,1084.734
1084.867,1086.234
1086.267,1089.434
1089.467,1090.467
1090.5,1090.634
1090.734,1091.234
1091.267,1092.234
1092.5,1093.9
1094.3,1094.467
1094.534,1096.867
1096.934,1112.267
1112.3,1114.4
1114.434,1114.734
1114.767,1115.9
1115.934,1123.3
